id,user_id,activity_type,details,created_at
1,2,interview_prep,Fetched all questions for role Full Stack Developer,2026-03-12 05:52:30.274029
2,2,interview_prep,Fetched all questions for role Full Stack Developer,2026-03-12 05:52:34.303902
3,2,interview_prep,Fetched all questions for role Full Stack Developer,2026-03-12 05:52:37.559103
4,2,interview_prep,Fetched all questions for role Full Stack Developer,2026-03-12 05:52:40.06343
5,2,interview_prep,Fetched all questions for role Full Stack Developer,2026-03-12 05:53:14.836187
6,2,interview_prep,Fetched all questions for role Deep Learning Engineer,2026-03-12 05:53:44.892816
7,2,interview_prep,Fetched all questions for role Deep Learning Engineer,2026-03-12 05:53:46.793062
8,2,interview_prep,Fetched all questions for role Deep Learning Engineer,2026-03-12 05:53:47.893768
9,2,interview_prep,Fetched all questions for role Full Stack Developer,2026-03-12 05:53:53.468193
10,2,interview_prep,Fetched all questions for role Backend Developer,2026-03-12 05:54:04.932558
11,2,interview_prep,Fetched all questions for role Backend Developer,2026-03-12 05:54:09.4217
12,2,interview_prep,Fetched all questions for role Backend Developer,2026-03-12 05:54:10.167725
13,2,roadmap_progress,Updated progress for fullStack,2026-03-14 07:06:07.244507
14,2,interview_prep,Fetched all questions for role Generative AI Engineer (GenAI),2026-03-14 07:06:25.913243
15,2,interview_prep,Fetched all questions for role Generative AI Engineer (GenAI),2026-03-14 07:06:43.595279
16,2,interview_prep,Fetched all questions for role Generative AI Engineer (GenAI),2026-03-14 07:06:45.197233
17,2,interview_prep,Fetched all questions for role Backend Developer,2026-03-15 07:01:51.539119
